cell_id,time,x_pos_microns,y_pos_microns,x_pos_corr,y_pos_corr,area,perimeter,angle,circularity,segment_length,cumulative_path_length,orientation,euclidean_distance,speed,directedness,turn_angle,direction_autocorrelation,solidity
1,0.0,430.244483,223.903448,0.0,0.0,1273.1058,172.615972,1.190373,0,0.0,0.0,-0.724252473206708,0.0,0.0,0.0,0.0,0.0,0.381191
1,10.0,424.255454,219.034338,-5.989029000000016,-4.869110000000006,1418.4306,202.530727,1.121639,1,7.718594467579007,7.718594467579007,-0.6229292620329095,7.718594467579007,46.311566805474044,-0.7759222258866152,39.11128027384419,0.1579634785909966,0.38369000000000003
1,20.0,422.840631,217.53336000000002,-7.403852000000029,-6.370087999999981,1500.1758,204.05963,1.129624,2,2.0626824956383762,9.781276963217383,-0.6353422788384228,9.76703873063111,29.301116191893332,-0.7580447056875363,46.69246188785461,0.2694289653117839,0.377675
1,30.0,424.021299,217.31619700000002,-6.223184000000003,-6.587250999999981,1450.9773,202.741825,1.096293,3,1.2004735294012359,10.98175049261862,-0.5824908057185753,9.06200280483607,18.12400560967214,-0.6867338417373818,-10.422057483095083,0.8441323307166504,0.402233
1,40.0,423.75385700000004,216.12942900000002,-6.490625999999963,-7.774018999999981,1536.507,207.663288,1.111293,4,1.2165292882573688,12.198279780875989,-0.606610165634125,10.127368724611356,15.191053086917035,-0.6408995442445535,77.30035468108885,0.9708169631084415,0.382827
1,50.0,423.050154,216.26789700000003,-7.194328999999982,-7.635550999999964,1522.1259,205.92328799999999,1.077001,5,0.7171968343718697,12.915476615247858,-0.5507025422653068,10.490948900544755,12.589138680653704,-0.6857653266833097,-11.131903249555181,0.8926239637374739,0.398019
1,60.0,424.44995700000004,215.658231,-5.794525999999962,-8.245216999999997,1591.7607,209.40328799999997,1.090649,6,1.52680747652253,14.442284091770388,-0.5732785834429072,10.077704844941854,10.077704844941854,-0.5749846903790121,-23.53490734048127,0.9866853415577933,0.340957
1,70.0,424.68446500000005,215.775925,-5.560017999999957,-8.127522999999997,1571.3244,210.84475099999997,1.083214,7,0.2623849837547921,14.70466907552518,-0.561031761855933,9.847356512072286,8.440591296061958,-0.5646203621432512,26.65098843426068,0.9968346512852289,0.328063
1,80.0,423.329762,215.20757799999998,-6.914720999999986,-8.695870000000014,1528.1811,203.97218999999998,1.081856,8,1.4690944593926214,16.1737635349178,-0.5587814061005261,11.109973967779629,8.332480475834723,-0.622388587052821,22.759814763288148,-0.7319743994344822,0.38147800000000004
1,90.0,424.93990499999995,215.19178599999998,-5.304578000000049,-8.711662000000018,1601.6004,210.633654,1.086374,9,1.6102204407200886,17.783983975637888,-0.5662521824080455,10.199588352493882,6.799725568329254,-0.5200776557519635,-0.561928933846166,-0.23789805946672513,0.290912
1,100.0,425.07205,215.811367,-5.172433000000012,-8.092081000000007,1628.0919,211.65292200000002,1.124941,10,0.6335163112233363,18.417500286861223,-0.6280818057123746,9.60394908618586,5.762369451711516,-0.5385735548556732,77.96028004065107,-0.999844994349143,0.31026
1,110.0,424.615141,215.817183,-5.629342000000008,-8.086264999999997,1612.197,212.162556,1.126865,11,0.45694601446669436,18.874446301327918,-0.6310714591641045,9.852774888486444,5.374240848265333,-0.5713458455828754,-0.7292792608053575,-0.988809456594012,0.252539
1,120.0,424.016301,216.096536,-6.228182000000004,-7.806912000000011,1608.4125,214.535848,1.128149,12,0.6607930418890524,19.535239343216972,-0.6330614371712316,9.986897716551834,4.993448858275917,-0.6236353046529851,-25.008590934634842,0.6574027122429706,0.113169
1,130.0,424.57027400000004,216.02095899999998,-5.674208999999962,-7.882489000000021,1602.3573,211.95145899999997,1.139677,13,0.5591046124456923,20.094343955662666,-0.6507392877398844,9.712377701201797,4.4826358620931375,-0.5842244993517749,-7.768742926676796,-0.03890176811511036,0.115479
1,140.0,423.83431900000005,215.835634,-6.410163999999952,-8.067813999999998,1610.6832,211.14328799999998,1.107988,14,0.7589302455759533,20.85327420123862,-0.6013420056255101,10.304359526214688,4.416154082663438,-0.6220827198131283,14.134112260726573,-0.9961046704043484,0.324363
1,150.0,424.30316600000003,215.159777,-5.9413169999999695,-8.743671000000006,1628.0919,209.701825,1.108056,15,0.8225571067457833,21.675831307984403,-0.6014506629398962,10.57123598500808,4.228494394003232,-0.5620267117701118,-55.25066869909189,0.9638395262147514,0.332248
1,160.0,424.075075,215.347098,-6.169407999999976,-8.556350000000009,1609.1694,212.162556,1.1168930000000001,16,0.29515192921951533,21.970983237203917,-0.6154759269999139,10.54858854979963,3.9557207061748616,-0.5848562554956381,-39.39474086501141,-0.9890732009279445,0.246889
1,170.0,427.542796,216.330737,-2.7016869999999926,-7.572710999999998,1540.2915,206.58219,1.138536,17,3.6045297357855026,25.57551297298942,-0.6490048694350716,8.04021545330036,2.837723101164833,-0.33602171679255183,15.836292822246515,0.2504666599109703,0.355786
1,180.0,424.867633,215.612694,-5.37684999999999,-8.290753999999993,1618.2522,212.883288,1.100163,18,2.7698524918157608,28.34536546480518,-0.5887646558065502,9.88165562094813,3.29388520698271,-0.544124406501437,15.02468079845219,0.6883299694261548,0.363121
1,190.0,425.28784299999995,215.017535,-4.95664000000005,-8.885912999999988,1621.2798,211.441825,1.125142,19,0.7285538273737531,29.073919292178932,-0.6283945701746992,10.174857735279117,3.2131129690355107,-0.4871458775107954,-54.776125753153636,0.7739328165601665,0.33117399999999997
