time,avg_area,avg_perimeter,avg_angle,avg_circularity,avg_segment_length,total_path_length,avg_orientation,euclidean_distance,avg_speed,avg_velocity,avg_directedness,avg_turn_angle,avg_direction_autocorrelation,avg_solidity,std_orientation,sem_orientation,sem_speed,sem_directedness
970,1138.5668249999999,148.81307625,-0.15090074999999997,97,1.3269385356728869,102.8179892918044,-0.7950769516591847,24.53840037911053,1.5178391987078679,0.7398512677118754,-0.5625449407714083,-22.69203076120094,0.7142233207508673,18.6935085,0.16543452068140835,0.09551366504866782,0.7725645067263484,0.1445244703011645
980,1148.028075,145.438625,0.5106569999999999,98,1.1376221340428176,103.95561142584722,-0.748826423958843,23.68854295608839,1.4503189564952075,0.7142274258117103,-0.5878385081883039,41.86149974031128,0.26075733535408074,18.31619975,0.13331091562851746,0.07696709302404003,0.7369190880850532,0.13089878225699822
990,918.308925,125.59069874999999,-0.09200349999999996,99,4.863915222947535,108.81952664879474,-0.6663212790878044,25.56481498737705,1.5493827265077,0.7707984418304639,-0.3328343590961404,2.793432976432534,-0.48438477657009904,18.017951500000002,0.1648746979307742,0.09519045123289072,0.7107105371650426,0.2989762759290515
1000,903.170925,125.23033275,-0.06945575000000004,100,0.5053956846213965,109.32492233341614,-0.6911532703661062,25.530371702145505,1.5318223021287303,0.7697599508184575,-0.3542483827562588,34.58184611364323,-0.1350878154627667,17.569013499999997,0.14125663238265151,0.08155455473094386,0.7107567609840103,0.2961898380933001
1010,886.519125,126.28957025,-0.17520875,101,1.327348846346252,110.65227117976241,-0.4356823118425487,25.548846509781068,1.5177532580067963,0.7703169801944041,-0.3328115918031462,24.430017683569492,-0.1571277403270593,17.24066775,0.4854451229367112,0.2802718724043012,0.6989041779686159,0.2931079778189501
1020,874.9764,127.23420449999999,0.0275605000000001,102,1.1042417517157406,111.75651293147813,-0.7484272496428195,25.54015753417576,1.5023622078926917,0.7700550010304249,-0.30131364403563243,-15.71369781687111,-0.1295491924089636,17.296337,0.11043660638897632,0.06376060442706422,0.6855799148282776,0.31100471170909216
1030,896.358825,130.7142045,-0.029276750000000018,103,1.5540655887995098,113.31057852027763,-0.6813918709887037,26.023034673529335,1.515904932438602,0.7846141107596785,-0.3367512650161686,28.12751184116908,0.44607228927474146,17.166599499999997,0.054634170768139215,0.03154305319993716,0.7087276030924379,0.3144140089188951
1040,882.734625,131.276613,-0.3664985,104,1.384318587631392,114.69489710790903,-0.3158646631275771,25.784603302291845,1.4875732674399142,0.7774252251947291,-0.33201390780367146,4.7851513573998385,-0.008057731419248197,17.399599000000002,0.725544358439086,0.41889323065382067,0.681483005699245,0.3325309392492184
1050,886.897575,128.71938725,-0.12531324999999996,105,0.8780319933580342,115.57292910126706,-0.5024732985573892,25.409928694024973,1.4519959253728556,0.7661285033374364,-0.3487640969932692,-22.402558347880277,0.1864085575825182,17.41672625,0.3508487103063688,0.20256259734021506,0.6723583565330701,0.32555524172623806
1060,877.436325,129.185302,-0.280939,106,0.9771530207570451,116.55008212202411,-0.2743889303346311,25.023290509567904,1.4164126703529,0.7544710706402383,-0.3205239622456979,21.747832839500184,0.5696435907420694,17.5311315,0.7252319280687647,0.4187128488954126,0.6698332714733475,0.32960986009774523
1070,892.3851,128.8995705,-0.17528925,107,1.0014389833403246,117.55152110536442,-0.38842612120070363,25.496884282829562,1.429731828943714,0.7687502798843084,-0.3529679287352828,45.2381864482944,0.31108752790055566,17.146753,0.5227275796821447,0.3017969088423278,0.6712541860039022,0.33686825206373905
